"用户ID","特征","清洁效率","耗材","对比","时间"
"001","65㎡；公寓；合租；短毛地毯","覆盖率:88%；日均清扫:29㎡；沿边清扫稳定","滤网寿命:剩余25天；尘盒清理:每3天；边刷磨损:中度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周4次","2025-02"
"002","75㎡；三居；1狗；木地板","覆盖率:94%；日均清扫:34㎡；沿边清扫无死角","滤网寿命:剩余32天；尘盒清理:每5天；主刷磨损:轻度","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类28%","2025-03"
"003","85㎡；平层；情侣；复合地板","覆盖率:85%；日均清扫:39㎡；沿边清扫稳定","滤网寿命:剩余39天；尘盒清理:每1天；主刷磨损:中度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:12次/月","2025-04"
"004","95㎡；合租；1猫；短毛地毯","覆盖率:91%；日均清扫:44㎡；沿边清扫无死角","滤网寿命:剩余46天；尘盒清理:每3天；主刷磨损:严重","避障失败:0次/周；建议升级吸力至1800Pa","2025-05"
"005","105㎡；公寓；2狗；木地板","覆盖率:82%；日均清扫:49㎡；沿边清扫稳定","滤网寿命:剩余53天；尘盒清理:每5天；边刷磨损:轻度","避障失败:3次/周（低矮障碍）；清洁效率优于82%小型用户","2025-06"
"006","115㎡；两居；三口之家；复合地板","覆盖率:88%；日均清扫:54㎡；沿边清扫无死角","滤网寿命:剩余60天；尘盒清理:每1天；边刷磨损:中度","避障失败:2次/周（电线缠绕）；建议增加分区清扫频次至每周4次","2025-07"
"007","64㎡；复式；2猫；短毛地毯","覆盖率:94%；日均清扫:59㎡；沿边清扫稳定","滤网寿命:剩余67天；尘盒清理:每3天；主刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；拖地功能使用率低于同类25%","2025-08"
"008","74㎡；小户型；独居；木地板","覆盖率:85%；日均清扫:64㎡；沿边清扫无死角","滤网寿命:剩余74天；尘盒清理:每5天；主刷磨损:中度","避障失败:0次/周；地毯增压使用:22次/月","2025-09"
"009","84㎡；公寓；合租；复合地板","覆盖率:91%；日均清扫:27㎡；沿边清扫稳定","滤网寿命:剩余81天；尘盒清理:每1天；主刷磨损:严重","避障失败:3次/周（低矮障碍）；建议升级吸力至2300Pa","2025-10"
"001","67㎡；公寓；2猫；瓷砖","覆盖率:88%；日均清扫:65㎡；沿边清扫偶发漏扫","滤网寿命:剩余79天；尘盒清理:每6天；边刷磨损:中度","避障失败:1次/周（拖鞋卡住）；建议升级吸力至2130Pa","2025-11"
"002","77㎡；三居；独居；长毛地毯","覆盖率:94%；日均清扫:28㎡；沿边清扫轻微漏扫","滤网寿命:剩余86天；尘盒清理:每2天；主刷磨损:轻度","避障失败:0次/周；清洁效率优于64%小型用户","2025-12"
"003","87㎡；平层；合租；混合地面","覆盖率:85%；日均清扫:33㎡；沿边清扫偶发漏扫","滤网寿命:剩余93天；尘盒清理:每4天；主刷磨损:中度","避障失败:3次/周（低矮障碍）；建议增加分区清扫频次至每周2次","2025-02"
"004","97㎡；合租；1狗；瓷砖","覆盖率:91%；日均清扫:38㎡；沿边清扫轻微漏扫","滤网寿命:剩余100天；尘盒清理:每6天；主刷磨损:严重","避障失败:2次/周（电线缠绕）；拖地功能使用率低于同类18%","2025-03"
"005","107㎡；公寓；情侣；长毛地毯","覆盖率:82%；日均清扫:43㎡；沿边清扫偶发漏扫","滤网寿命:剩余107天；尘盒清理:每2天；边刷磨损:轻度","避障失败:1次/周（拖鞋卡住）；地毯增压使用:25次/月","2025-04"
